original_column,new_column
id,id
block_id,block_id
k001,k001
k002,k002
nomor,nomor
baru,baru
baru.1,baru.1
baru.2,baru.2
tt,tt
varietas_bibit,varietas_bibit
ha_statement_luas_tanam_sd_thn_2024,ha_statement_luas_tanam_sd_thn_2024
penambahan,penambahan
sd_2025,sd_2025
empls,empls
bbt,bbt
pks,pks
jln_parit,jln_parit
areal_cdg,areal_cdg
total,total
realisasi_tanam_sd_november_2025_komposisi_pokok,realisasi_tanam_sd_november_2025_komposisi_pokok
realisasi_tanam_komposisi_pokok_2009,realisasi_tanam_komposisi_pokok_2009
realisasi_tanam_komposisi_pokok_2010,realisasi_tanam_komposisi_pokok_2010
realisasi_tanam_komposisi_pokok_2011,realisasi_tanam_komposisi_pokok_2011
realisasi_tanam_komposisi_pokok_2012,realisasi_tanam_komposisi_pokok_2012
realisasi_tanam_komposisi_pokok_2013,realisasi_tanam_komposisi_pokok_2013
realisasi_tanam_komposisi_pokok_2014,realisasi_tanam_komposisi_pokok_2014
realisasi_tanam_komposisi_pokok_2015,realisasi_tanam_komposisi_pokok_2015
realisasi_tanam_komposisi_pokok_2016,realisasi_tanam_komposisi_pokok_2016
realisasi_tanam_komposisi_pokok_2017,realisasi_tanam_komposisi_pokok_2017
realisasi_tanam_komposisi_pokok_2018,realisasi_tanam_komposisi_pokok_2018
realisasi_tanam_komposisi_pokok_2019,realisasi_tanam_komposisi_pokok_2019
sd_thn_2019_pkk,sd_thn_2019_pkk
sph,sph
thn_2020_tanam,thn_2020_tanam
thn_2020_sisip,thn_2020_sisip
thn_2021_tanam,thn_2021_tanam
thn_2021_sisip,thn_2021_sisip
thn_2022_tanam,thn_2022_tanam
thn_2022_sisip,thn_2022_sisip
thn_2023_tanam,thn_2023_tanam
thn_2023_sisip,thn_2023_sisip
thn_2023_sisip_kentosan,thn_2023_sisip_kentosan
thn_2024_tanam,thn_2024_tanam
thn_2024_sisip,thn_2024_sisip
thn_2024_kentosan,thn_2024_kentosan
thn_2025_tanam,thn_2025_tanam
thn_2025_sisip,thn_2025_sisip
thn_2025_kenthosan,thn_2025_kenthosan
total_tanam,total_tanam
total_sisip,total_sisip
total_kenthosan,total_kenthosan
